relative_path	object_type	bytes	file_count	tracked_file_count
DifferentialEquations	directory	18728068	93	92
BlockClasses	directory	1016867	3	3
ClassForms	directory	244173	173	173
HardClasses	directory	6537444	464	447
FamilyEpsForms	directory	68368084	158	5
FamilyEpsFormsCertified	directory	47974004	90	0
FamilyEpsFormsSolving	directory	2836101710	12798	60
BenchmarkStripBackends	directory	619887383	6502	0
BoundaryPeriods	directory	242440	36	36
ObservableTransport_2026-09-01_codex	directory	60193729	186	0
ObservableTransport_2026-09-03_T	directory	2240667	3	0
ObservableTransport_2026-09-03_round9	directory	28657561	262	0
PathTransportObstructions	directory	397996	21	21
PhysicalBoundaryModes	directory	144958	40	0
PhysicalBoundaryModes_2026-09-03_T	directory	799411	7	0
PhysicalBoundaryModes_2026-09-03_round9	directory	188581	119	0
PhysicalEndpointTransport	directory	1511107	40	0
PhysicalEndpointTransport_2026-09-03_T	directory	438185	1	0
PhysicalEndpointTransport_2026-09-03_round9	directory	2559566	79	0
FinishedTransport_2026-09-03_T	directory	242668	1	0
CanonicalRegistry.wl	file	178841	1	0
CanonicalRegistry.wxf	file	6332455	1	0
MasterCoefficientValuations.wl	file	51972	1	0
TransportDepthLedger.md	file	19984	1	0
TransportDepthLedger.wl	file	460080	1	0
TransportFamilyCharts.wl	file	2959	1	1
TransportProductionPlan.md	file	138547	1	0
